building_id,y,x,kindergarten,school,bus_buf,tram_stop,subway_buf,education,edu_buf,food,food_buf,commerce,commerce_buf,finance,fin_buf,health,health_buf,recreation,personal development
0,59.83929714,30.1117205,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,59.84196114,30.11518766,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
2,59.84434554,30.11537938,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,59.83720016,30.11066992,2,1,3,0,0,0,0,1,2,0,0,0,0,0,0,0,0
4,59.83995303,30.09906094,2,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5,59.84303885,30.10346093,2,1,4,0,0,0,0,0,2,1,4,0,0,0,0,0,0
6,59.83928254,30.10061717,2,1,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,59.84289989,30.10144716,3,0,6,0,0,0,0,0,2,1,4,0,0,0,0,0,0
8,59.84069846,30.10528747,3,2,6,0,0,0,0,0,0,0,3,0,0,1,1,0,0
9,59.84364294,30.10805798,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,59.84197918,30.10143895,2,0,8,0,0,1,1,1,3,1,6,0,0,0,0,0,1
11,59.84197563,30.11249814,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,59.83811022,30.10786351,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,59.8399544,30.10296351,3,2,8,0,0,0,0,0,0,1,2,0,0,0,0,0,0
14,59.84204555,30.10385265,2,2,6,0,0,0,0,1,3,1,6,0,0,0,0,0,0
15,59.83688918,30.11190857,2,1,3,0,0,0,0,1,3,0,0,0,0,0,0,0,0
16,59.83910064,30.10483402,3,2,7,0,0,0,0,0,0,1,2,0,0,0,0,0,0
17,59.84346438,30.11046776,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,59.83890307,30.10248859,3,1,8,0,0,0,0,0,0,0,2,0,0,0,0,0,0
19,59.84298515,30.10556813,2,1,4,0,0,0,0,1,2,1,3,0,0,1,1,0,0
