y,x,building_id,school,kindergarten,bus_buf,subway_buf,tram_stop
"59.83929714","30.11172050",0,2,2,1,0,0
"59.84196114","30.11518766",1,1,2,0,0,0
"59.84434554","30.11537938",2,1,1,0,0,0
"59.83720016","30.11066992",3,1,2,3,0,0
"59.83995303","30.09906094",4,0,2,9,0,0
"59.84303885","30.10346093",5,1,2,4,0,0
"59.83928254","30.10061717",6,1,2,8,0,0
"59.84289989","30.10144716",7,0,3,6,0,0
"59.84069846","30.10528747",8,2,3,6,0,0
"59.84364294","30.10805798",9,1,1,3,0,0
"59.84197918","30.10143895",10,0,2,8,0,0
"59.84197563","30.11249814",11,1,2,0,0,0
"59.83811022","30.10786351",12,2,1,6,0,0
"59.83995440","30.10296351",13,2,3,8,0,0
"59.84204555","30.10385265",14,2,2,6,0,0
"59.83688918","30.11190857",15,1,2,3,0,0
"59.83910064","30.10483402",16,2,3,7,0,0
"59.84346438","30.11046776",17,1,2,2,0,0
"59.83890307","30.10248859",18,1,3,8,0,0
"59.84298515","30.10556813",19,1,2,4,0,0
"59.84138422","30.09933048",20,0,3,8,0,0
"59.84119712","30.10309378",21,2,2,8,0,0
"59.84187321","30.10627522",22,2,3,4,0,0
"59.84286994","30.09924842",23,0,3,6,0,0
"59.83720944","30.10852982",24,2,1,4,0,0
"59.84282703","30.09703887",25,1,3,5,0,0
"59.84277728","30.09492616",26,1,2,5,0,0
"59.84149453","30.09719211",27,0,3,5,0,0
"59.84163222","30.09503446",28,0,3,5,0,0
"59.83811993","30.11203022",29,2,2,2,0,0
"59.83920592","30.11462547",30,1,3,1,0,0
"59.83786625","30.11453172",31,0,2,3,0,0
"59.84242619","30.09274040",32,1,1,3,0,0
"59.84470218","30.09252021",33,1,2,2,0,0
"59.84721856","30.09244330",34,1,2,3,0,0
"59.84848542","30.09453968",35,1,1,4,0,0
"59.84931755","30.09663387",36,0,1,3,0,0
"59.84816220","30.09665841",37,1,1,3,0,0
"59.84682120","30.09679999",38,1,2,3,0,0
"59.84770462","30.09455437",39,1,1,3,0,0
"59.83653733","30.11358343",40,0,3,3,0,0
"59.83645150","30.11511099",41,0,2,4,0,0
"59.84785212","30.10574237",42,1,1,2,0,0
"59.84812023","30.11128158",43,1,1,0,0,0
"59.84828835","30.11036223",44,1,1,1,0,0
"59.84704091","30.11011566",45,1,1,0,0,0
"59.84756184","30.10982962",46,1,1,0,0,0
"59.84696680","30.11152251",47,1,1,0,0,0
"59.84745028","30.11083400",48,1,1,0,0,0
"59.84886697","30.10998990",49,1,1,1,0,0
"59.84868849","30.11129436",50,1,1,0,0,0
"59.84799911","30.10959269",51,1,1,1,0,0
"59.84549076","30.11527565",52,1,1,0,0,0
"59.84549269","30.11638404",53,1,1,0,0,0
"59.84597123","30.10601498",54,1,1,2,0,0
"59.84606783","30.10844998",55,1,1,2,0,0
"59.84475435","30.09740616",56,1,2,1,0,0
"59.84880453","30.10271469",57,0,1,3,0,0
