building_area,living_area,population_balanced,y,x,building_id
3193.82,23813,541,59.84492516,30.1252821,0
3043.58,22449,493,59.84315906,30.12597641,1
339.384,3679,68,59.84009527,30.12595368,2
1757.78,12808.9,302,59.84130875,30.1263594,3
806.828,7451.02,145,59.84469152,30.12703281,4
339.418,3754,82,59.84236902,30.12745548,5
892.448,7189,171,59.84502266,30.12787904,6
339.565,3718.88,83,59.84258348,30.12919053,7
339.454,3727,88,59.84336847,30.12991843,8
3524.53,39474.8,697,59.84906985,30.1345857,9
8338.79,99231.6,1670,59.85185655,30.13811968,10
1860.81,10420.6,160,59.84855399,30.13804858,11
1119.56,5485.84,83,59.85130175,30.13835356,12
5941.51,28108.6,461,59.84904337,30.14017578,13
4412.95,49425.1,858,59.85323777,30.14030715,14
629.018,3962.81,70,59.85259355,30.1406092,15
1384.26,5628.7,50,60.03069376,30.14070451,16
1045.75,6375.3,322,59.82748757,30.14067588,17
821.873,3180.66,142,59.8264325,30.14063615,18
1363.01,16219.8,795,59.83151537,30.14109899,19
2142.25,25492.7,1251,59.8322572,30.1410667,20
842.863,3190.74,174,59.8340316,30.1406926,21
322.927,2083.6,84,59.8295972,30.1408312,22
330.886,231.62,7,59.8310012,30.1408382,23
1384.37,5590.3,30,60.02960785,30.14129185,24
1383.84,5227.3,33,60.03087196,30.14155039,25
863.023,3179.13,145,59.83083615,30.1421182,26
845.162,3175.13,161,59.8304898,30.14212265,27
813.979,3181.17,144,59.82978345,30.14213845,28
836.843,3175.78,143,59.83014675,30.14214445,29
833.021,3178.65,151,59.8264315,30.1413953,30
861.701,3184.83,166,59.83403155,30.14140235,31
1116.94,6429.4,321,59.82752988,30.14162666,32
1313.53,4617.3,28,60.02876121,30.14223121,33
1419.01,5598.8,29,60.02981754,30.14232391,34
837.697,3203,151,59.82644257,30.14214129,35
810.395,3166.14,146,59.8340331,30.14236085,36
4262.83,17199,824,59.83489234,30.1443805,37
341.61,2144.51,114,59.82712214,30.14262335,38
329.949,2088.33,99,59.8284453,30.1426296,39
646.278,2454,104,59.8331473,30.1427508,40
632.999,2455.39,107,59.83237525,30.14274165,41
635.42,2458.64,122,59.82633115,30.14292985,42
